name,cause of death,born,died,comments
Hazel Court (actress),Heart attack. ,"February 10, 1926","April 15, 2008","British horror actress, The Curse of Frankenstein, particularly known for pairing with Vincent Price in several Poe-based films.  Home Page  IMDb  Obituary  FindAGrave"
Danny Federici (keyboardist),Melanoma. ,"January 23, 1950","April 17, 2008","Played piano for ""The Boss."" Make memorial contributions to: The Danny Federici Melanoma Fund.  IMDb  Obituary  FindAGrave"
Nicolette Goulet (actress),Breast cancer. ,"June 5, 1956","April 17, 2008",Soap opera actress (Ryan's Hope); daughter of Robert Goulet.  Home Page  IMDb  Obituary  FindAGrave
Bebe Barron (composer),,"June 16, 1926","April 20, 2008",Experimental muscian who wrote the electronic music for Forbidden Planet; collaborated with Louis even after they divorced.  Home Page  IBDB  IMDb  Obituary
Al Wilson (singer),Kidney failure. ,"June 19, 1939","April 21, 2008","R&B singer probably best-known for 1973's ""Show and Tell"".  IMDb  Obituary"
John Berkey (artist),,"August 13, 1932","April 29, 2008","A science fiction artist who did some pre-production Star Wars illustration, he designed the famous ""Old Elvis"" stamp proposal and one of the better-known portraits of President Lyndon Johnson. Make memorial contributions to: Society of Illustrators Scholarship Fund  Home Page  Obituary"
Albert Hoffman (chemist),Heart attack. ,"January 11, 1906","April 29, 2008","Synthesized LSD in 1938, tested it in 1943, and later tested other hallucinogenic substances.  Home Page  IMDb  Obituary"
Eddy Arnold (country singer),,"May 15, 1918","May 8, 2008","""Make the World Go Away"".  IMDb  Obituary"
John Phillip Law (actor),,"June 7, 1937","May 13, 2008",Barbarella.  Home Page  IBDB  IMDb  Obituary  FindAGrave
Alexander Courage (composer),Stroke. ,"December 10, 1919","May 15, 2008","Most known for the distinctive Star Trek original theme, did orchestrations for many TV shows and movies.  IMDb  Obituary  FindAGrave"
Joseph Pevney (director),,"September 15, 1911","May 18, 2008","TV director, mostly known for Star Trek episodes like ""The City on the Edge of Forever"" and ""Devil in the Dark.""  IBDB  IMDb  Obituary  FindAGrave"
Robert Lynn Asprin (humorous fantacist),Heart attack. ,"June 28, 1946","May 22, 2008","MythAdventures, longtime fixture in science fiction fandom.  Home Page"
Robert Calhoun (soap opera producer),,"November 24, 1930","May 24, 2008","Soap opera producer who won an Emmy for As the World Turns in the late '80s, longtime companion of Farley Granger.  IMDb  Obituary"
Dick Martin (director/comedian),Respiratory failure. ,"January 30, 1922","May 24, 2008","Long time professional partner of Dan Rowan, co-host of Laugh-In, later directed shows like The Bob Newhart Show and Family Ties.  Home Page  IMDb  Obituary"
Sydney Pollack (director/actor),Cancer. ,"July 1, 1934","May 26, 2008","Out of Africa, Tootsie and many more.  IMDb  Obituary  FindAGrave"
Robert Justman (producer),Parkinson's disease. ,"July 13, 1926","May 28, 2008","Producer of various Star Trek shows, Superman, and directed some episodes of The Outer Limits.  IMDb  Obituary  FindAGrave"
Harvey Korman (comedian),,"February 15, 1927","May 29, 2008","The Carol Burnett Show, Blazing Saddles.  IBDB  IMDb"
Yves Saint-Laurent (designer),,"August 1, 1936","June 1, 2008",Worked for Dior and popularized suits for women and haute couture.  Home Page  IMDb  Obituary
Bo Diddley (guitarist),Heart failure. ,"December 30, 1928","June 2, 2008","""I Am a Man"", professional musician for over 50 years.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Mel Ferrer (actor/director),,"August 25, 1917","June 2, 2008","Lili, War and Peace, The Longest Day, married to Audrey Hepburn produced Wait Until Dark.  IBDB  IMDb  Obituary"
Robert J. Anderson (production manager/child actor),Melanoma. ,"March 6, 1933","June 6, 2008","Production manager on shows like Police Story and The Time Tunnel, he played young George Bailey in It's a Wonderful Life.  IMDb"
Jim McKay (sportscaster),,"September 24, 1921","June 7, 2008","""Spanned the globe..."" -- Wide World of Sports  IMDb  Obituary"
Algis Budrys (writer),,"January 9, 1931","June 9, 2008","Rogue Moon, involved with Writers of the Future.  Home Page  IMDb"
Tim Russert (political analyst),Heart attack. ,"May 7, 1950","June 13, 2008","Hosted Meet the Press for many years, memorable for writing ""Florida, Florida, Florida"" on a little whiteboard during election night, 2000 - ""Can you believe that?"" (David Gregory of NBC said, of his death while on the job, ""We can't imagine Tim leaving work early"")  IMDb  Obituary"
Stan Winston (special effects master),Multiple myeloma. ,"April 7, 1946","June 15, 2008","Won Oscars for Aliens, Terminator 2: Judgment Day and Jurassic Park.  IMDb"
Cyd Charisse (actress),Heart attack. ,"March 8, 1921","June 17, 2008","Dancer in many movies, including Singing in the Rain, Silk Stockings, Brigadoon, married to Tony Martin for over 60 years.  Home Page  IBDB  IMDb  Obituary"
Tasha Tudor (writer/artist),,"August 28, 1915","June 18, 2008","Illustrator of classic children's books like The Secret Garden, she also wrote some of her own and won two Caldecott medals along the way.  Home Page  Obituary"
George Carlin (comedian),Heart attack. ,"May 12, 1937","June 22, 2008","These days, you can say those seven words on cable television, a number of books including When Will Jesus Bring the Pork Chops?, never lost his passion for political humor.  Home Page  IMDb  Obituary  FindAGrave"
Dody Goodman (comic),,"October 28, 1915","June 22, 2008","Bit parts in movies including Grease, frequent '60s talk show guest, the mother on Mary Hartman, Mary Hartman.  Home Page  IBDB  IMDb  Obituary"
Don S. Davis (actor),Heart attack. ,"August 4, 1942","June 29, 2008",Stargate's Major General Hammond. Make memorial contributions to: American Heart Association  Home Page  IMDb  Obituary
Elizabeth Spriggs (actress),,"September 18, 1929","July 2, 2008","Mrs. Jennings in Sense and Sensibility, pops into Harry Potter movies from portraits.  IMDb  Obituary"
Larry Harmon (Bozo popularizer),Congestive heart failure. ,"January 2, 1925","July 3, 2008",An early Bozo who turned the character into a '60s and '70s icon.  IMDb  Obituary  FindAGrave
Thomas M. Disch (writer),Suicide. ,"February 2, 1940","July 4, 2008","Camp Concentration, 334, The Brave Little Toaster.  twitter  IMDb  Obituary"
Jesse Helms (politician),Vascular dementia. ,"October 18, 1921","July 4, 2008","The kind of politician who failed to understand the meaning of the word ""democracy.""  Home Page  twitter  IMDb  Obituary  FindAGrave"
Evelyn Keyes (actress),Uterine cancer. ,"November 20, 1916","July 4, 2008",Author of Scarlet O'Hara's Younger Sister and married to the much-wed Artie Shaw from 1957 until his death.  twitter  IMDb  Obituary  FindAGrave
Dr. Michael DeBakey (heart surgeon),,"September 7, 1908","July 11, 2008","Pioneering surgeon who helped to develop MASH units while in the Army in WWII, various kinds of heart surgeries and multi-organ transplants.  Obituary"
Jo Stafford (big band singer),Congestive heart failure. ,"November 12, 1917","July 16, 2008","Her song ""I'll Be Seeing You"" was the most popular record distributed to US soldiers during WWII, created a musical parody in the late '50s called ""Darlene Edwards.""  IMDb  Obituary"
Estelle Getty (actress),Lewy Body Dementia. ,"July 25, 1923","July 22, 2008","Tended to play much older characters, especially Sophia in The Golden Girls.  Home Page  IBDB  IMDb  Obituary"
Randy Pausch (educator/geek),Pancreatic cancer. ,"October 23, 1960","July 25, 2008","Creator of the Alice project, a temporary ""Imagineer,"" who gave a great, widely-distributed lecture about living with pancreatic cancer; co-writer of the best-selling The Last Lecture. Make memorial contributions to: Pancreatic Cancer Action Network, Make memorial contributions to: Randy Pausch Memorial Fund (at CMU, to support the Alice Project).  Home Page  Obituary  FindAGrave"
Pauline Baynes (illustrator),,"September 9, 1922","August 1, 2008","Primary illustrator of the first editions of the works of J. R. R. Tolkien, C. S. Lewis and Richard Adams.  Home Page  Obituary"
Aleksandr Solzhenitsyn (writer),,"December 11, 1918","August 3, 2008","Wrote the controversial One Day in the Life of Ivan Denisovich, won the Nobel Prize, expelled from the Soviet Union and lived in Vermont from the mid-70s until he returned to Russia in the '90s.  Home Page  IMDb  Obituary  FindAGrave"
Bernie Mac (comic),Sarcoidosis/pneumonia. ,"October 5, 1957","August 9, 2008","The Bernie Mac Show, the ""Oceans"" movies.  IMDb  Obituary  FindAGrave"
"Isaac Hayes (actor, songwriter)",Stroke. ,"August 20, 1942","August 10, 2008","Wrote the theme for Shaft, ""reborn"" as Chef on South Park.  Home Page  IMDb  Obituary  FindAGrave"
Fred Crane (radio announcer/actor),Blood clot. ,"March 22, 1918","August 21, 2008","One of the Tarleton Twins in Gone with the Wind, longtime radio announcer in KFAC in LA.  IMDb  Obituary"
Jeff MacKay (actor),Liver failure. ,"October 20, 1948","August 22, 2008","Played recurring characters in JAG and Magnum, P. I.  IMDb"
Thomas Weller (virologist),,"June 15, 1915","August 23, 2008",Won a Nobel Prize in Medicine for helping to demonstrate how to grow the polio virus; isolated the German measles and chicken pox viruses.  Home Page  Obituary
Ralph Young (singer/comic),,"July 1, 1919","August 23, 2008",Toured with Tony Sandler for many years; last public performance was for a 9/11 fundraiser in 2001.  Home Page  IBDB  IMDb  Obituary
Don LaFontaine (Voice-over actor),Collapsed lung. ,"August 26, 1940","September 1, 2008","Did the voice-over for over a thousand movie trailers (often leading off with ""In a world...""), satirized himself on a GEICO commercial.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Michael Pate (actor/producer),Pneumonia. ,"February 26, 1920","September 1, 2008","Australian actor who appeared in many Westerns (including as a native American in Hondo), he adapted and directed Mel Gibson's early movie Tim.  IBDB  IMDb  Obituary"
Jerry Reed (singer/actor),,"March 20, 1937","September 1, 2008","""When You're Hot, You're Hot"", acted in the Smokey and the Bandit flicks. Make memorial contributions to: AMVETS  IMDb  Obituary  FindAGrave"
Bill Melendez (animator/cartoon director),,"November 5, 1916","September 2, 2008","Directed/produced the Peanuts specials and commercials for 41 years, voiced Snoopy, worked as an animator for Warner Brothers. Make memorial contributions to: Childrens Hospital Los Angeles.  Home Page  IMDb  Obituary  FindAGrave"
Gregory Mcdonald (writer),Cancer. ,"February 15, 1937","September 7, 2008","The Fletch series, former newspaper reporter.  Home Page  IMDb  Obituary  FindAGrave"
Paul Newman (philanthropist/actor/race car driver),Lung cancer. ,"January 26, 1925","September 26, 2008",Versatile actor married to Joanne Woodward.  Home Page  IBDB  IMDb  Obituary  FindAGrave
Nick Reynolds (singer),,"July 27, 1933","October 1, 2008","Kingston Trio - ""Tom Dooley""  Home Page  IMDb  Obituary"
Edie Adams (actress/comic),"Pneumonia, cancer. ","April 16, 1927","October 15, 2008","Famous for the Muriel cigar commercials, won a Tony for playing Daisy Mae in Lil Abner, married to Ernie Kovacs.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Levi Stubbs (singer),,"June 6, 1936","October 17, 2008","The lead singer of The Four Tops, probably best-known for their song ""Baby, I Need Your Lovin'"".  IMDb  Obituary  FindAGrave"
Milton Katselas (director/teacher),Heart failure. ,"February 22, 1933","October 24, 2008","Tony Award-winning director (Butterflies Are Free - he also directed the movie version) who spent most of his career teaching actors like Doris Roberts, Gene Hackman and Michelle Pfeiffer.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Estelle Reiner (singer/actress),,circa 1914,"October 25, 2008","Was performing and recording CDs well into her 80s, best-remembered for saying ""I'll have what she's having"" in When Harry Met Sally, married to Carl Reiner for 65 years.  Home Page  IMDb  Obituary"
Tony Hillerman (author),Pulmonary failure. ,"May 27, 1925","October 26, 2008",Wrote a series of Navajo mysteries.  Home Page  IMDb  Obituary
Delmar Watson (photographer/child actor),Prostate cancer. ,"July 1, 1926","October 28, 2008","Very active in '30s movies, he may be best-known as Peter in the Shirley Temple version of Heidi, one of the acting Watson kids.  IMDb  FindAGrave"
Studs Terkel (working writer),,"May 16, 1912","October 31, 2008","Wrote books (Will the Circle Be Unbroken? Reflections on Death, Rebirth, and Hunger for a Faith, Working), jack-of-many trades and an active interviewer.  Home Page  IMDb  Obituary"
Michael Crichton (writer),Cancer. ,"October 23, 1942","November 4, 2008","Andromeda Strain, Jurassic Park, created the popular TV series ER.  IMDb  Obituary  FindAGrave"
John Leonard (critic),Lung cancer. ,"February 25, 1939","November 5, 2008","Writer for New York, Harper's, The New York Times and resident critic on Sunday Morning.  IMDb  Obituary"
Joe Hyams (writer),Coronary artery disease. ,"June 6, 1923","November 8, 2008","Journalist, Hollywood bio writer (Bogie), ex-husband of Elke Sommer. Make memorial contributions to: Guide Dogs of America  IMDb  Obituary"
Miriam Makeba (singer),Heart attack. ,"March 4, 1932","November 10, 2008","South African singer called ""Mama Afrika,"" best-known for ""Pata Pata"", part of Paul Simon's Graceland, she died after having a heart attack during a concert.  Home Page  IMDb  Obituary  FindAGrave"
Irving Brecher (screenplay writer),Heart attack. ,"January 17, 1914","November 17, 2008","Wrote for the Marx Brothers (Go West), Milton Berle, and comedies like Bye Bye Birdie.  IBDB  IMDb  Obituary"
William Gibson (playwright),,"September 13, 1914","November 25, 2008",Best-known for The Miracle Worker and Golda's Balcony.  IBDB  IMDb  Obituary  FindAGrave
Paul Benedict (actor),,"September 17, 1938","December 1, 2008","Played Harry on The Jeffersons, many bit parts in movies including The Goodbye Girl and The Freshman.  IBDB  IMDb  Obituary  FindAGrave"
Odetta (folksinger/activist),Heart disease/kidney failure. ,"December 31, 1930","December 2, 2008","Blues/folksinger (""Take This Hammer"") whose work influenced Harry Belafonte, Pete Seeger, Joan Baez and Bob Dylan, performed with Martin Luther King.  Home Page  IMDb  Obituary"
Edward Samuel Rogers (businessman),Congestive heart failure. ,"May 27, 1933","December 2, 2008","Radio and cable TV magnate (Rogers Communications), richest man in Canada.  Obituary"
"Forrest J Ackerman (magazine editor, invented the term ""sci-fi"")",[rumors] Heart failure. ,"November 24, 1916","December 4, 2008","Accumulated a massive SF/movie collection, but later had to move to smaller quarters and sold most of it off, edited Forrest J Ackerman's World of Science Fiction.  AwardWeb  Home Page  IMDb  Obituary"
"Nina Foch (actress, teacher)",Myelodysplasia. ,"April 20, 1924","December 5, 2008","Oscar-nominated for Executive Suite, long career in movies and TV, taught acting for over 40 years.  IBDB  IMDb  Obituary"
Beverly Garland (actress),,"October 17, 1926","December 5, 2008","It Conquered the World, Barbara on My Three Sons.  Home Page  IMDb  Obituary"
Robert Prosky (actor),Complications of heart surgery. ,"December 13, 1930","December 8, 2008","Longtime actor in Washington, DC, Jablonski on Hill Street Blues, Broadcast News.  Home Page  IBDB  IMDb  Obituary"
Bettie Page (pin-up model),Heart attack following pneumonia. ,"April 22, 1923","December 11, 2008","Popular '50s pin-up model, an early Playboy centerfold, had a cult following that spawned multiple biographies of her during the '80s.  Home Page  IMDb  Obituary  FindAGrave"
Van Johnson (actor),,"August 25, 1916","December 12, 2008",in nearly 100 movies including The Caine Mutiny and Brigadoon.  IMDb  Obituary
Julius Fast (writer),,"November 11, 1914","December 15, 2008","Won the first Edgar award for a mystery short story, mostly wrote popular nonfiction like Body Language and Sexual Chemistry.  Obituary"
Sam Bottoms (actor),Glioblastoma multiforme. ,"October 17, 1955","December 16, 2008","The surfer soldier in Apocalypse Now, one of the Bottoms brothers. Make memorial contributions to: Angels Among Us - Preston Robert Tisch Brain Tumor Center at Duke University  IMDb  Obituary  FindAGrave"
Mark Felt (Deep Throat/FBI manager),Congestive heart failure. ,"August 17, 1913","December 18, 2008","FBI number 2 person during the Nixon years, he secretly passed information to Bob Woodward after the initial Watergate break-in (thus earning a nickname more famous than the movie it was based on) and almost never talked about it for 30 years.  Home Page  Obituary"
Majel Barrett Roddenberry (actress/voice),Leukemia. ,"February 23, 1936","December 18, 2008","The only actor to be involved in every incarnation of Star Trek, from the original pilot in 1965 to the 2009 ""early days"" movie.  Home Page  IMDb  Obituary  FindAGrave"
Robert Mulligan (director),Heart disease. ,"August 23, 1925","December 20, 2008","Directed To Kill a Mockingbird and Up the Down Staircase, older brother of Richard Mulligan.  IBDB  IMDb  Obituary  FindAGrave"
Dale Wasserman (playwright),Congestive heart failure. ,"November 2, 1914","December 21, 2008",Adapted two of the most popular plays - One Flew Over the Cuckoo's Nest and The Man of La Mancha.  IBDB  IMDb  Obituary  FindAGrave
Harold Pinter (poet/retired playwright/director),Cancer. ,"October 10, 1930","December 24, 2008","The Homecoming, The Caretaker, married to Lady Antonia Fraser from 1980 until his death.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Edd Cartier (artist),,1914,"December 25, 2008",Starting selling art to science fiction magazines in 1936.  Home Page  Obituary
Leo Frankowski (writer),,"February 13, 1943","December 25, 2008","Military SF writer, known mostly for books about ""Conrad Stargard.""  Home Page  FindAGrave"
Eartha Kitt (actress),Colon cancer ,"January 17, 1927","December 25, 2008","Mrrrrrrow! - the second Catwoman on Batman, popularized ""Santa Baby"".  Home Page  IMDb  Obituary  FindAGrave"
Ann Savage (actress),,"February 19, 1921","December 25, 2008","Detour, My Winnipeg.  IMDb  Obituary  FindAGrave"
Donald Westlake (writer),Heart attack. ,"July 12, 1934","December 31, 2008",Prolific mystery writer who wrote under many names (including Richard Stark) and was nominated for an Oscar for the script for The Grifters.  Home Page  IMDb  Obituary
Tillie Olsen (writer),,"January 14, 1912","January 1, 2007",Tell Me a Riddle.  Home Page  IMDb
Yvonne De Carlo (actress),,"September 1, 1922","January 8, 2007",Lily Munster  IMDb
Iwao Takamoto (animator),Heart attack. ,"April 29, 1925","January 8, 2007","Worked for Disney, later designed Scooby-Doo.  IMDb"
Carlo Ponti (producer),,"December 11, 1912","January 9, 2007","Produced the Oscar-winning La Strada, married to Sophia Loren.  IMDb"
Robert Anton Wilson (author),,"January 18, 1932","January 11, 2007","No conspiracy or anything, he co-wrote The Illuminatus Trilogy and urged his readers the ""keep the lasagna flying"".  IMDb"
Ron Carey (actor),Stroke. ,"December 11, 1935","January 16, 2007",Officer Levitt on Barney Miller and performed in a number of Mel Brooks movies.  IBDB  IMDb  Obituary
Art Buchwald (columnist),Kidney failure. ,"October 20, 1925","January 17, 2007","Suffered a severe stroke in June 2000, wrote thousands of columns and one novel - Stella in Heaven: Almost a Novel, survived over a year without needed kidney dialysis, left his hospice to go on vacation!  Home Page  IMDb  Obituary  FindAGrave"
Denny Doherty (actor/singer),,"November 29, 1940","January 19, 2007","The only member of the Mamas and the Papas who toured in the new millennium, occasionally showed up on TV shows.  Home Page  IMDb  Obituary  FindAGrave"
"Emiliano Mercado Del Toro (World's oldest man, 2005-2007)",,"August 21, 1891","January 24, 2007",Also the world's oldest person for the month before his death.  Home Page  Obituary
Tige Andrews (actor/painter),,"March 19, 1920","January 27, 2007","Captain Greer on The Mod Squad, Wiley in Mister Roberts, his paintings appear in galleries and in the book Actors as Artists.  IBDB  IMDb  Obituary"
"Bob Carroll, Jr. (writer)",,"August 13, 1919","January 27, 2007","Longtime writing partner of Madelyn Pugh Davis, co-creator of I Love Lucy.  IMDb  Obituary  FindAGrave"
Charles L. Fontenay (journalist/writer),. ,"March 17, 1917","January 27, 2007","Wrote for The Tennessean for 40 years, wrote a biography of Estes Kefauver and the multi-volume chronicle The Kipton Chronicles.  Obituary  FindAGrave"
Sidney Sheldon (writer/producer),Pneumonia. ,"February 11, 1917","January 30, 2007","Produced shows like The Patty Duke Show, wrote books like The Other Side of Midnight, won an Oscar for writing The Bachelor and the BobbySoxer.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Molly Ivins (writer),Breast cancer. ,"August 30, 1944","January 31, 2007","Many years of great columns and several books like Bushwhacked. ""We are the people who run this country. We are the deciders""  Home Page  IMDb  Obituary"
Gian Carlo Menotti (composer),,"July 7, 1911","February 1, 2007","Wide ranging composer, probably best-known for Amahl and the Night Visitors (the first opera ever written for TV), founded Spoleto Festivals on two continents, longtime companion of Samuel Barber.  Home Page  IBDB  IMDb"
Barbara McNair (singer/actress),Throat cancer. ,"March 4, 1934","February 4, 2007","Singer/actress with her own variety show in the late '60s, played Sidney Portier's wife in They Call Me Mister Tibbs.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Frankie Laine (singer),Complications of hip replacement surgery. ,"March 30, 1913","February 6, 2007","Singer best-known for singing the theme songs to Rawhide and Blazing Saddles, marathon dancer in the '30s.  Home Page  IBDB  IMDb  FindAGrave"
Anna Nicole Smith (model),Unknown. ,"November 28, 1967","February 8, 2007",Amusing Playboy centerfold-turned amusing performer.  Home Page  IMDb  Obituary  FindAGrave
Ian Richardson (actor),,"April 7, 1934","February 9, 2007","While a famous Shakespearean actor in England, he's probaby best-known in the States for as the rich man loopking for Grey Poupon mustard, House of Cards (""You might think that; I couldn't possibly comment""), played the voice of Death in Hogfather just before he died.  IBDB  IMDb  Obituary  FindAGrave"
Peter Ellenshaw (visual effects whiz),,"May 24, 1913","February 12, 2007","The Black Hole, 20,000 Leagues Under the Sea.  Home Page  IMDb  FindAGrave"
Walker Edmiston (cartoon voice),Cancer. ,"February 6, 1925","February 15, 2007","Heard in H.R. Pufnstuf, voiced Inferno on Transformers; also voiced Ernie on the Keebler cookie elf commercials.  IMDb  Obituary"
Joseph Gallo (businessman),Strokes. ,"September 11, 1919","February 17, 2007","Started making wine with his older brothers, but later founded Joseph Farms cheeses after a protracted legal battle with his brothers.  Home Page"
Leigh Eddings (writer),Stroke. ,circa 1937,"February 28, 2007",Co-wrote large fantasy series including the Belgariad and the Malloreon.  Home Page
"Arthur Schlesinger, Jr. (historian)",Heart attack. ,"October 15, 1917","February 28, 2007",Writer and liberal political aide who wrote an early history of the Kennedy administration A Thousand Days.  Home Page  IMDb  Obituary
Thomas Eagleton (senator),Heart/respiratory ailments. ,"September 4, 1929","March 4, 2007",Longtime Missouri senator who was briefly a vice presidential candidate for George McGovern in 1972. He was forced to resign after it was revealed he'd been successfully treated for depression a few years before and a media firestorm ensued.  Home Page  IMDb  Obituary
Ernest Gallo (businessman),Strokes. ,"March 18, 1909","March 6, 2007","Started making wine with his brother Julio, became the biggest winemaker in the U. S.  Home Page  Obituary  FindAGrave"
John Inman (actor),Hepatitis A. ,"June 28, 1935","March 8, 2007","Witty British comic best-known for his signature role as Mr. Humphries on Are You Being Served; catch-phrase was a breezy ""I'm free"".  IMDb  Obituary"
Brad Delp (musician),Suicide - carbon monoxide poisoning. ,"June 12, 1951","March 9, 2007","Member of the band Boston, lead singer for ""More than a Feeling"", eulogized by many as the ""Nicest guy in rock and roll.""  IMDb  Obituary  FindAGrave"
Richard Jeni (comedian),Suicide. ,"October 31, 1957","March 10, 2007",Busy stand-up comic who made a number of HBO specials including Richard Jeni: Good Catholic Boy.  Home Page  IMDb  Obituary  FindAGrave
Betty Hutton (actress),Colon cancer. ,"February 26, 1921","March 11, 2007",The Greatest Show on Earth.  IBDB  IMDb  Obituary  FindAGrave
Herman Stein (composer),[rumors] Congestive heart failure. ,"August 19, 1915","March 15, 2007","Composed the music for many B movies, including It Came From Outer Space.  Home Page  IMDb  Obituary  FindAGrave"
John Backus (compiler developer),,"December 3, 1924","March 17, 2007",Developed the FORTRAN programming language while working for IBM.  Home Page
Calvert DeForest (comic),Heart attack/pneumonia. ,"July 23, 1921","March 19, 2007","Larry ""Bud"" Melman on various David Letterman shows.  IMDb"
Luther Ingram (singer/songwriter),Diabetes. ,"November 30, 1937","March 19, 2007","Best known for the '70s hit ""If Loving You Is Wrong, I Don't Want to Be Right"", worked with varied musicians such as Isaac Hayes, Jimi Hendrix and Ike Turner.  IMDb  FindAGrave"
David Honigsberg (writer/rabbi),Heart attack. ,"September 13, 1958","March 26, 2007","SF/RPG writer, musician and rabbi.  Home Page"
"Benjamin ""Bob"" Clark (director/writer)",Car crash (killed by drunken driver with his son). ,"August 5, 1941","April 4, 2007",Directed A Christmas Story and Porky's.  IMDb  FindAGrave
Stan Daniels (writer/producer),Heart failure. ,circa 1934,"April 6, 2007","Co-creator of Taxi, writer/producer of The Mary Tyler Moore Show. Make memorial contributions to: The Association for Frontotemporal Dementias.  Home Page  IMDb"
Johnny Hart (cartoonist),Stroke (while cartooning). ,"February 18, 1931","April 7, 2007",Creator of B.C. and The Wizard of Id.  Home Page  IMDb
Barry Nelson (actor),,"April 16, 1920","April 7, 2007","Stuart Ullman in The Shining, Airport.  IBDB  IMDb  FindAGrave"
Roscoe Lee Browne (actor),Cancer. ,"May 2, 1925","April 11, 2007","Saunders in Soap, narrator of the Babe movies, was a teacher and set a world record in track in the '50s.  IBDB  IMDb"
"Kurt Vonnegut, Jr. (writer, teacher)",Injuries from a fall. ,"November 11, 1922","April 11, 2007","Slaughterhouse Five, created Kilgore Trout but did not publish any books under that name (though Philip Jose Farmer did), married to Jill Krementz.  AwardWeb  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Don Ho (entertainer),Heart attack. ,"August 13, 1930","April 14, 2007","""Tiny Bubbles"".  Home Page  IMDb  Obituary"
Kitty Carlisle Hart (actress/game show participant),,"September 3, 1910","April 17, 2007","Regular on To Tell the Truth, performed with the Marx Brothers in Night at the Opera, widow of the playwright Moss Hart, performed in a night club when she was 96 years old.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
"Paul Erdman (economist, writer)",Cancer. ,"May 19, 1932","April 23, 2007","Commentator on Marketwatch, wrote novels such as The Crash of '79 (published in '76).  IMDb"
David Halberstam (writer),Car accident. ,"April 10, 1934","April 23, 2007","Won a Pulitzer Prize in the '60s for reporting on the Vietnam war, wrote many non-fiction books including The Best and the Brightest.  Home Page  IMDb  Obituary  FindAGrave"
Boris Yeltsin (former Russian president),Heart failure. ,"February 1, 1931","April 23, 2007","Midnight Diaries, first elected Russian president.  IMDb  Obituary"
Warren Avis (entreprenuer),,"August 4, 1915","April 24, 2007",Started the Avis Rent-a-Car company in 1946.
"Bobby ""Boris"" Pickett (singer/songwriter)",Leukemia. ,"February 11, 1938","April 25, 2007","Co-wrote and sang the classic ""Monster Mash"".  Home Page  IMDb"
Jack Valenti (former MPAA chief),Stroke. ,"September 5, 1921","April 26, 2007","Political advisor, helped develop film ratings, novelist, and speaker at many Oscar ceremonies.  Home Page  IMDb  Obituary"
Al Hunter Ashton (writer/actor),Heart failure. ,"June 26, 1957","April 27, 2007","Writer for Eastenders and Holby City, acted in bit parts in many TV shows and movies.  Home Page  IMDb  Obituary"
Mstislav Rostropovich (cellist/conductor),Intestinal cancer. ,"March 27, 1927","April 27, 2007","Particularly known for his interpretation of Bach, he was a professional cellist for over 60 years, gave famous concerts in Berlin after the wall came down, had his Russian citizenship stripped and later restored, and directed the National Symphony in Washington for 17 years.  IMDb  Obituary"
Dabbs Greer (actor),Kidney/heart disease. ,"April 2, 1917","April 28, 2007","Played ministers in Little House on the Prairie, The Brady Bunch and Picket Fences, first person rescued by Superman in the Superman TV series.  IMDb  FindAGrave"
Tommy Newsom (saxophonist/arranger),,"February 25, 1929","April 28, 2007","The subdued substitute bandleader during the Carson years of The Tonight Show, dubbed Mr. Excitement by Johnny Carson.  Home Page  IMDb  FindAGrave"
Tom Poston (actor/comic),,"October 17, 1921","April 30, 2007","Second banana in many TV shows, very amusing on To Tell the Truth, was an airman during the D-Day invasion, married to Suzanne Pleshette from 2001 until his death.  Home Page  IBDB  IMDb"
Gordon Scott (actor),Following heart surgery. ,"August 3, 1926","April 30, 2007","Played Tarzan in the '50s, later went on to make spaghetti Westerns, married to Vera Miles in the '50s.  Home Page  IMDb  Obituary  FindAGrave"
"Walter Schirra, Jr. (astronaut/businessman)",Heart attack. ,"March 12, 1923","May 3, 2007","Fifth American in space, participated in three NASA spaceflight programs (Mercury, Gemini, and Apollo).  Home Page  IMDb  FindAGrave"
Terry Ryan (writer),Cancer. ,"July 14, 1946","May 16, 2007","Technical writer and best-selling author of a book about her mother, The Prize Winner of Defiance, Ohio: How My Mother Raised 10 Kids on 25 Words or Less.  Home Page  IMDb  Obituary"
Lloyd Alexander (writer),,"January 30, 1924","May 17, 2007","The Chronicles of Prydain, won the Newbery Medal for The High King.  Home Page  IMDb  Obituary"
Charles Nelson Reilly (director/comedian),Pneumonia. ,"January 13, 1931","May 25, 2007","Broadway actor, directed many Broadway shows including The Belle of Amherst, regular on The Ghost and Mrs. Muir and The Match Game, memorable as Jose Chung in an X-Files episode.  IBDB  IMDb  FindAGrave"
Steve Gilliard (writer),Heart disease. ,circa 1966,"June 2, 2007",Political blogger who wrote for The Daily Kos started The News Blog.  Home Page
